Date,Price,Change(%),Year,Month,Day,fulldate
1 2006,102.65,0.005,2006,1,1,1/1/2006
2 2006,107.13,0.0436,2006,2,1,2/1/2006
3 2006,105.25,-0.0175,2006,3,1,3/1/2006
4 2006,107.72,0.0235,2006,4,1,4/1/2006
5 2006,110.65,0.0272,2006,5,1,5/1/2006
6 2006,109.4,-0.0113,2006,6,1,6/1/2006
7 2006,113.99,0.042,2006,7,1,7/1/2006
8 2006,116.59,0.0228,2006,8,1,8/1/2006
9 2006,121.75,0.0443,2006,9,1,9/1/2006
10 2006,142.17,0.1677,2006,10,1,10/1/2006
11 2006,164.54,0.1573,2006,11,1,11/1/2006
12 2006,160.38,-0.0253,2006,12,1,12/1/2006
1 2007,164.77,0.0274,2007,1,1,1/1/2007
2 2007,177.35,0.0763,2007,2,1,2/1/2007
3 2007,170.51,-0.0386,2007,3,1,3/1/2007
4 2007,152.75,-0.1042,2007,4,1,4/1/2007
5 2007,160.23,0.049,2007,5,1,5/1/2007
6 2007,165.25,0.0313,2007,6,1,6/1/2007
7 2007,146.84,-0.1114,2007,7,1,7/1/2007
8 2007,151.17,0.0295,2007,8,1,8/1/2007
9 2007,159.44,0.0547,2007,9,1,9/1/2007
10 2007,164.16,0.0296,2007,10,1,10/1/2007
11 2007,171.25,0.0432,2007,11,1,11/1/2007
12 2007,180.25,0.0526,2007,12,1,12/1/2007
1 2008,206.66,0.1465,2008,1,1,1/1/2008
2 2008,220.07,0.0649,2008,2,1,2/1/2008
3 2008,234.36,0.0649,2008,3,1,3/1/2008
4 2008,246.44,0.0515,2008,4,1,4/1/2008
5 2008,243.46,-0.0121,2008,5,1,5/1/2008
6 2008,287.11,0.1793,2008,6,1,6/1/2008
7 2008,265.34,-0.0758,2008,7,1,7/1/2008
8 2008,235.03,-0.1142,2008,8,1,8/1/2008
9 2008,233.85,-0.005,2008,9,1,9/1/2008
10 2008,183.06,-0.2172,2008,10,1,10/1/2008
11 2008,163.77,-0.1054,2008,11,1,11/1/2008
12 2008,158.26,-0.0336,2008,12,1,12/1/2008
1 2009,172.83,0.0921,2009,1,1,1/1/2009
2 2009,163.38,-0.0547,2009,2,1,2/1/2009
3 2009,164.56,0.0072,2009,3,1,3/1/2009
4 2009,168.5,0.0239,2009,4,1,4/1/2009
5 2009,179.91,0.0677,2009,5,1,5/1/2009
6 2009,179.52,-0.0022,2009,6,1,6/1/2009
7 2009,151.57,-0.1557,2009,7,1,7/1/2009
8 2009,151.96,0.0026,2009,8,1,8/1/2009
9 2009,150.39,-0.0103,2009,9,1,9/1/2009
10 2009,167.31,0.1125,2009,10,1,10/1/2009
11 2009,171.64,0.0259,2009,11,1,11/1/2009
12 2009,164.56,-0.0412,2009,12,1,12/1/2009
1 2010,167.31,0.0167,2010,1,1,1/1/2010
2 2010,161.8,-0.0329,2010,2,1,2/1/2010
3 2010,159.05,-0.017,2010,3,1,3/1/2010
4 2010,157.08,-0.0124,2010,4,1,4/1/2010
5 2010,163.38,0.0401,2010,5,1,5/1/2010
6 2010,152.75,-0.0651,2010,6,1,6/1/2010
7 2010,163.76,0.0721,2010,7,1,7/1/2010
8 2010,175.58,0.0722,2010,8,1,8/1/2010
9 2010,205.89,0.1726,2010,9,1,9/1/2010
10 2010,235.81,0.1453,2010,10,1,10/1/2010
11 2010,238.18,0.0101,2010,11,1,11/1/2010
12 2010,250.38,0.0512,2010,12,1,12/1/2010