Date,SoyPrice,SoyChange(%)
1 2006,257,-0.0265
2 2006,257,0
3 2006,257,0
4 2006,258,0.0039
5 2006,266,0.031
6 2006,267,0.0038
7 2006,271.75,0.0178
8 2006,262,-0.0359
9 2006,258,-0.0153
10 2006,273,0.0581
11 2006,300,0.0989
12 2006,297,-0.01
1 2007,306,0.0303
2 2007,325,0.0621
3 2007,322,-0.0092
4 2007,319.75,-0.007
5 2007,334,0.0446
6 2007,361,0.0808
7 2007,375.5,0.0402
8 2007,385,0.0253
9 2007,426,0.1065
10 2007,450,0.0563
11 2007,489,0.0867
12 2007,515.33,0.0538
1 2008,541,0.0498
2 2008,572,0.0573
3 2008,575,0.0052
4 2008,558,-0.0296
5 2008,575,0.0305
6 2008,622,0.0817
7 2008,634,0.0193
8 2008,556,-0.123
9 2008,509,-0.0845
10 2008,394,-0.2259
11 2008,378,-0.0406
12 2008,360,-0.0476
1 2009,413,0.1472
2 2009,390,-0.0557
3 2009,379,-0.0282
4 2009,414,0.0923
5 2009,465,0.1232
6 2009,503,0.0817
7 2009,462,-0.0815
8 2009,470,0.0173
9 2009,430,-0.0851
10 2009,427,-0.007
11 2009,440,0.0304
12 2009,450,0.0227
1 2010,436,-0.0311
2 2010,406,-0.0688
3 2010,408,0.0049
4 2010,411,0.0074
5 2010,407,-0.0097
6 2010,408,0.0025
7 2010,429,0.0515
8 2010,456.75,0.0647
9 2010,470,0.029
10 2010,493,0.0489
11 2010,525.8,0.0665
12 2010,547,0.0403